"tax_id","parent_id","rank","tax_name","root","root_","superkingdom","superkingdom_","superkingdom__","phylum","subphylum","class","order","family","genus","species_group","species","species_","species__","subspecies","subspecies_","subspecies__"
"1","1","root","root","1","","","","","","","","","","","","","","","","",""
"131567","1","root_","cellular organisms","1","131567","","","","","","","","","","","","","","","",""
"2","131567","superkingdom","Bacteria","1","131567","2","","","","","","","","","","","","","","",""
"1224","2","phylum","Proteobacteria","1","131567","2","","","1224","","","","","","","","","","","",""
"1236","1224","class","Gammaproteobacteria","1","131567","2","","","1224","","1236","","","","","","","","","",""
"72274","1236","order","Pseudomonadales","1","131567","2","","","1224","","1236","72274","","","","","","","","",""
"135621","72274","family","Pseudomonadaceae","1","131567","2","","","1224","","1236","72274","135621","","","","","","","",""
"286","135621","genus","Pseudomonas","1","131567","2","","","1224","","1236","72274","135621","286","","","","","","",""
"1495066","286","species","Pseudomonas capeferrum","1","131567","2","","","1224","","1236","72274","135621","286","","1495066","","","","",""
"404407","286","species","Pseudomonas indoloxydans","1","131567","2","","","1224","","1236","72274","135621","286","","404407","","","","",""
"797277","286","species","Pseudomonas litoralis","1","131567","2","","","1224","","1236","72274","135621","286","","797277","","","","",""
"136841","286","species_group","Pseudomonas aeruginosa group","1","131567","2","","","1224","","1236","72274","135621","286","136841","","","","","",""
"287","136841","species","Pseudomonas aeruginosa","1","131567","2","","","1224","","1236","72274","135621","286","136841","287","","","","",""
"136843","286","species_group","Pseudomonas fluorescens group","1","131567","2","","","1224","","1236","72274","135621","286","136843","","","","","",""
"298","136843","species","Pseudomonas marginalis","1","131567","2","","","1224","","1236","72274","135621","286","136843","298","","","","",""
"136849","286","species_group","Pseudomonas syringae group","1","131567","2","","","1224","","1236","72274","135621","286","136849","","","","","",""
"1451454","136849","species","Pseudomonas caspiana","1","131567","2","","","1224","","1236","72274","135621","286","136849","1451454","","","","",""
"468","72274","family","Moraxellaceae","1","131567","2","","","1224","","1236","72274","468","","","","","","","",""
"469","468","genus","Acinetobacter","1","131567","2","","","1224","","1236","72274","468","469","","","","","","",""
"106649","469","species","Acinetobacter guillouiae","1","131567","2","","","1224","","1236","72274","468","469","","106649","","","","",""
"1217655","106649","species_","Acinetobacter guillouiae CIP 63.46","1","131567","2","","","1224","","1236","72274","468","469","","106649","1217655","","","",""
"202955","469","species","Acinetobacter tjernbergiae","1","131567","2","","","1224","","1236","72274","468","469","","202955","","","","",""
"1120928","202955","species_","Acinetobacter tjernbergiae DSM 14971 = CIP 107465","1","131567","2","","","1224","","1236","72274","468","469","","202955","1120928","","","",""
"40214","469","species","Acinetobacter johnsonii","1","131567","2","","","1224","","1236","72274","468","469","","40214","","","","",""
"52133","469","species","Acinetobacter venetianus","1","131567","2","","","1224","","1236","72274","468","469","","52133","","","","",""
"1191460","52133","species_","Acinetobacter venetianus RAG-1 = CIP 110063","1","131567","2","","","1224","","1236","72274","468","469","","52133","1191460","","","",""
"909768","469","species_group","Acinetobacter calcoaceticus/baumannii complex","1","131567","2","","","1224","","1236","72274","468","469","909768","","","","","",""
"470","909768","species","Acinetobacter baumannii","1","131567","2","","","1224","","1236","72274","468","469","909768","470","","","","",""
"1310710","470","species_","Acinetobacter baumannii 3390","1","131567","2","","","1224","","1236","72274","468","469","909768","470","1310710","","","",""
"903898","470","species_","Acinetobacter baumannii Naval-81","1","131567","2","","","1224","","1236","72274","468","469","909768","470","903898","","","",""
"48296","909768","species","Acinetobacter pittii","1","131567","2","","","1224","","1236","72274","468","469","909768","48296","","","","",""
"1311774","48296","species_","Acinetobacter pittii ATCC 19004 = CIP 70.29","1","131567","2","","","1224","","1236","72274","468","469","909768","48296","1311774","","","",""
"91347","1236","order","Enterobacterales","1","131567","2","","","1224","","1236","91347","","","","","","","","",""
"543","91347","family","Enterobacteriaceae","1","131567","2","","","1224","","1236","91347","543","","","","","","","",""
"561","543","genus","Escherichia","1","131567","2","","","1224","","1236","91347","543","561","","","","","","",""
"1499973","561","species","Escherichia marmotae","1","131567","2","","","1224","","1236","91347","543","561","","1499973","","","","",""
"208962","561","species","Escherichia albertii","1","131567","2","","","1224","","1236","91347","543","561","","208962","","","","",""
"562","561","species","Escherichia coli","1","131567","2","","","1224","","1236","91347","543","561","","562","","","","",""
"1038927","562","species_","Escherichia coli O104:H4","1","131567","2","","","1224","","1236","91347","543","561","","562","1038927","","","",""
"1068618","1038927","species__","Escherichia coli O104:H4 str. 11-4632 C2","1","131567","2","","","1224","","1236","91347","543","561","","562","1038927","1068618","","",""
"1116129","562","species_","Escherichia coli 201600.1","1","131567","2","","","1224","","1236","91347","543","561","","562","1116129","","","",""
"868149","562","species_","Escherichia coli DEC4A","1","131567","2","","","1224","","1236","91347","543","561","","562","868149","","","",""
"868198","562","species_","Escherichia coli DEC13C","1","131567","2","","","1224","","1236","91347","543","561","","562","868198","","","",""
"564","561","species","Escherichia fergusonii","1","131567","2","","","1224","","1236","91347","543","561","","564","","","","",""
"585054","564","species_","Escherichia fergusonii ATCC 35469","1","131567","2","","","1224","","1236","91347","543","561","","564","585054","","","",""
"590","543","genus","Salmonella","1","131567","2","","","1224","","1236","91347","543","590","","","","","","",""
"28901","590","species","Salmonella enterica","1","131567","2","","","1224","","1236","91347","543","590","","28901","","","","",""
"59201","28901","subspecies","Salmonella enterica subsp. enterica","1","131567","2","","","1224","","1236","91347","543","590","","28901","","","59201","",""
"149391","59201","subspecies_","Salmonella enterica subsp. enterica serovar Braenderup","1","131567","2","","","1224","","1236","91347","543","590","","28901","","","59201","149391",""
"149539","59201","subspecies_","Salmonella enterica subsp. enterica serovar Enteritidis","1","131567","2","","","1224","","1236","91347","543","590","","28901","","","59201","149539",""
"611","59201","subspecies_","Salmonella enterica subsp. enterica serovar Heidelberg","1","131567","2","","","1224","","1236","91347","543","590","","28901","","","59201","611",""
"90370","59201","subspecies_","Salmonella enterica subsp. enterica serovar Typhi","1","131567","2","","","1224","","1236","91347","543","590","","28901","","","59201","90370",""
"59202","28901","subspecies","Salmonella enterica subsp. salamae","1","131567","2","","","1224","","1236","91347","543","590","","28901","","","59202","",""
"1243603","59202","subspecies_","Salmonella enterica subsp. salamae serovar 56:z10:enx","1","131567","2","","","1224","","1236","91347","543","590","","28901","","","59202","1243603",""
"1243604","1243603","subspecies__","Salmonella enterica subsp. salamae serovar 56:z10:e,n,x str. 1369-73","1","131567","2","","","1224","","1236","91347","543","590","","28901","","","59202","1243603","1243604"
"28211","1224","class","Alphaproteobacteria","1","131567","2","","","1224","","28211","","","","","","","","","",""
"204455","28211","order","Rhodobacterales","1","131567","2","","","1224","","28211","204455","","","","","","","","",""
"31989","204455","family","Rhodobacteraceae","1","131567","2","","","1224","","28211","204455","31989","","","","","","","",""
"1060","31989","genus","Rhodobacter","1","131567","2","","","1224","","28211","204455","31989","1060","","","","","","",""
"1063","1060","species","Rhodobacter sphaeroides","1","131567","2","","","1224","","28211","204455","31989","1060","","1063","","","","",""
"272943","1063","species_","Rhodobacter sphaeroides 2.4.1","1","131567","2","","","1224","","28211","204455","31989","1060","","1063","272943","","","",""
"1075","1060","species","Rhodobacter blasticus","1","131567","2","","","1224","","28211","204455","31989","1060","","1075","","","","",""
"1188250","1075","species_","Rhodobacter blasticus DSM 2131","1","131567","2","","","1224","","28211","204455","31989","1060","","1075","1188250","","","",""
"1783356","1060","species","Rhodobacter sediminis","1","131567","2","","","1224","","28211","204455","31989","1060","","1783356","","","","",""
"407234","1060","species","Rhodobacter vinaykumarii","1","131567","2","","","1224","","28211","204455","31989","1060","","407234","","","","",""
"445629","1060","species","Rhodobacter johrii","1","131567","2","","","1224","","28211","204455","31989","1060","","445629","","","","",""
"446682","1060","species","Rhodobacter maris","1","131567","2","","","1224","","28211","204455","31989","1060","","446682","","","","",""
"28216","1224","class","Betaproteobacteria","1","131567","2","","","1224","","28216","","","","","","","","","",""
"206351","28216","order","Neisseriales","1","131567","2","","","1224","","28216","206351","","","","","","","","",""
"481","206351","family","Neisseriaceae","1","131567","2","","","1224","","28216","206351","481","","","","","","","",""
"482","481","genus","Neisseria","1","131567","2","","","1224","","28216","206351","481","482","","","","","","",""
"1931275","482","species","Neisseria dumasiana","1","131567","2","","","1224","","28216","206351","481","482","","1931275","","","","",""
"33053","482","species","Neisseria perflava","1","131567","2","","","1224","","28216","206351","481","482","","33053","","","","",""
"486","482","species","Neisseria lactamica","1","131567","2","","","1224","","28216","206351","481","482","","486","","","","",""
"546265","486","species_","Neisseria lactamica ATCC 23970","1","131567","2","","","1224","","28216","206351","481","482","","486","546265","","","",""
"487","482","species","Neisseria meningitidis","1","131567","2","","","1224","","28216","206351","481","482","","487","","","","",""
"1095679","487","species_","Neisseria meningitidis 4119","1","131567","2","","","1224","","28216","206351","481","482","","487","1095679","","","",""
"495","482","species","Neisseria elongata","1","131567","2","","","1224","","28216","206351","481","482","","495","","","","",""
"88719","495","subspecies","Neisseria elongata subsp. glycolytica","1","131567","2","","","1224","","28216","206351","481","482","","495","","","88719","",""
"546263","88719","subspecies_","Neisseria elongata subsp. glycolytica ATCC 29315","1","131567","2","","","1224","","28216","206351","481","482","","495","","","88719","546263",""
"496","482","species","Neisseria macacae","1","131567","2","","","1224","","28216","206351","481","482","","496","","","","",""
"997348","496","species_","Neisseria macacae ATCC 33926","1","131567","2","","","1224","","28216","206351","481","482","","496","997348","","","",""
"68525","1224","subphylum","delta/epsilon subdivisions","1","131567","2","","","1224","68525","","","","","","","","","","",""
"29547","68525","class","Epsilonproteobacteria","1","131567","2","","","1224","68525","29547","","","","","","","","","",""
"213849","29547","order","Campylobacterales","1","131567","2","","","1224","68525","29547","213849","","","","","","","","",""
"72293","213849","family","Helicobacteraceae","1","131567","2","","","1224","68525","29547","213849","72293","","","","","","","",""
"209","72293","genus","Helicobacter","1","131567","2","","","1224","68525","29547","213849","72293","209","","","","","","",""
"210","209","species","Helicobacter pylori","1","131567","2","","","1224","68525","29547","213849","72293","209","","210","","","","",""
"992035","210","species_","Helicobacter pylori Hp A-11","1","131567","2","","","1224","68525","29547","213849","72293","209","","210","992035","","","",""
"214","209","species","Helicobacter felis","1","131567","2","","","1224","68525","29547","213849","72293","209","","214","","","","",""
"936155","214","species_","Helicobacter felis ATCC 49179","1","131567","2","","","1224","68525","29547","213849","72293","209","","214","936155","","","",""
"361872","209","species","Helicobacter equorum","1","131567","2","","","1224","68525","29547","213849","72293","209","","361872","","","","",""
"37372","209","species","Helicobacter bilis","1","131567","2","","","1224","68525","29547","213849","72293","209","","37372","","","","",""
"1408441","37372","species_","Helicobacter bilis ATCC 51630","1","131567","2","","","1224","68525","29547","213849","72293","209","","37372","1408441","","","",""
"425400","209","species","Helicobacter japonicus","1","131567","2","","","1224","68525","29547","213849","72293","209","","425400","","","","",""
"45498","209","species","Helicobacter cholecystus","1","131567","2","","","1224","68525","29547","213849","72293","209","","45498","","","","",""
"1783270","2","superkingdom_","FCB group","1","131567","2","1783270","","","","","","","","","","","","","",""
"68336","1783270","superkingdom__","Bacteroidetes/Chlorobi group","1","131567","2","1783270","68336","","","","","","","","","","","","",""
"976","68336","phylum","Bacteroidetes","1","131567","2","1783270","68336","976","","","","","","","","","","","",""
"200643","976","class","Bacteroidia","1","131567","2","1783270","68336","976","","200643","","","","","","","","","",""
"171549","200643","order","Bacteroidales","1","131567","2","1783270","68336","976","","200643","171549","","","","","","","","",""
"815","171549","family","Bacteroidaceae","1","131567","2","1783270","68336","976","","200643","171549","815","","","","","","","",""
"816","815","genus","Bacteroides","1","131567","2","1783270","68336","976","","200643","171549","815","816","","","","","","",""
"1841856","816","species","Bacteroides mediterraneensis","1","131567","2","1783270","68336","976","","200643","171549","815","816","","1841856","","","","",""
"246787","816","species","Bacteroides cellulosilyticus","1","131567","2","1783270","68336","976","","200643","171549","815","816","","246787","","","","",""
"537012","246787","species_","Bacteroides cellulosilyticus DSM 14838","1","131567","2","1783270","68336","976","","200643","171549","815","816","","246787","537012","","","",""
"291645","816","species","Bacteroides nordii","1","131567","2","1783270","68336","976","","200643","171549","815","816","","291645","","","","",""
"1203608","291645","species_","Bacteroides nordii WAL 11050 = JCM 12987","1","131567","2","1783270","68336","976","","200643","171549","815","816","","291645","1203608","","","",""
"371601","816","species","Bacteroides xylanisolvens","1","131567","2","1783270","68336","976","","200643","171549","815","816","","371601","","","","",""
"657309","371601","species_","Bacteroides xylanisolvens XB1A","1","131567","2","1783270","68336","976","","200643","171549","815","816","","371601","657309","","","",""
"46506","816","species","Bacteroides stercoris","1","131567","2","1783270","68336","976","","200643","171549","815","816","","46506","","","","",""
"449673","46506","species_","Bacteroides stercoris ATCC 43183","1","131567","2","1783270","68336","976","","200643","171549","815","816","","46506","449673","","","",""
"821","816","species","Bacteroides vulgatus","1","131567","2","1783270","68336","976","","200643","171549","815","816","","821","","","","",""
"435590","821","species_","Bacteroides vulgatus ATCC 8482","1","131567","2","1783270","68336","976","","200643","171549","815","816","","821","435590","","","",""
"1783272","2","superkingdom_","Terrabacteria group","1","131567","2","1783272","","","","","","","","","","","","","",""
"1239","1783272","phylum","Firmicutes","1","131567","2","1783272","","1239","","","","","","","","","","","",""
"186801","1239","class","Clostridia","1","131567","2","1783272","","1239","","186801","","","","","","","","","",""
"186802","186801","order","Clostridiales","1","131567","2","1783272","","1239","","186801","186802","","","","","","","","",""
"31979","186802","family","Clostridiaceae","1","131567","2","1783272","","1239","","186801","186802","31979","","","","","","","",""
"1485","31979","genus","Clostridium","1","131567","2","1783272","","1239","","186801","186802","31979","1485","","","","","","",""
"1520","1485","species","Clostridium beijerinckii","1","131567","2","1783272","","1239","","186801","186802","31979","1485","","1520","","","","",""
"1428454","1520","species_","Clostridium beijerinckii NRRL B-598","1","131567","2","1783272","","1239","","186801","186802","31979","1485","","1520","1428454","","","",""
"290402","1520","species_","Clostridium beijerinckii NCIMB 8052","1","131567","2","1783272","","1239","","186801","186802","31979","1485","","1520","290402","","","",""
"223919","1485","species","Clostridium diolis","1","131567","2","1783272","","1239","","186801","186802","31979","1485","","223919","","","","",""
"91061","1239","class","Bacilli","1","131567","2","1783272","","1239","","91061","","","","","","","","","",""
"1385","91061","order","Bacillales","1","131567","2","1783272","","1239","","91061","1385","","","","","","","","",""
"186817","1385","family","Bacillaceae","1","131567","2","1783272","","1239","","91061","1385","186817","","","","","","","",""
"1386","186817","genus","Bacillus","1","131567","2","1783272","","1239","","91061","1385","186817","1386","","","","","","",""
"86661","1386","species_group","Bacillus cereus group","1","131567","2","1783272","","1239","","91061","1385","186817","1386","86661","","","","","",""
"1392","86661","species","Bacillus anthracis","1","131567","2","1783272","","1239","","91061","1385","186817","1386","86661","1392","","","","",""
"1396","86661","species","Bacillus cereus","1","131567","2","1783272","","1239","","91061","1385","186817","1386","86661","1396","","","","",""
"1179100","1396","species_","Bacillus cereus biovar anthracis","1","131567","2","1783272","","1239","","91061","1385","186817","1386","86661","1396","1179100","","","",""
"637380","1179100","species__","Bacillus cereus biovar anthracis str. CI","1","131567","2","1783272","","1239","","91061","1385","186817","1386","86661","1396","1179100","637380","","",""
"1428","86661","species","Bacillus thuringiensis","1","131567","2","1783272","","1239","","91061","1385","186817","1386","86661","1428","","","","",""
"186820","1385","family","Listeriaceae","1","131567","2","1783272","","1239","","91061","1385","186820","","","","","","","",""
"1637","186820","genus","Listeria","1","131567","2","1783272","","1239","","91061","1385","186820","1637","","","","","","",""
"1494960","1637","species","Listeria aquatica","1","131567","2","1783272","","1239","","91061","1385","186820","1637","","1494960","","","","",""
"1265818","1494960","species_","Listeria aquatica FSL S10-1188","1","131567","2","1783272","","1239","","91061","1385","186820","1637","","1494960","1265818","","","",""
"1494961","1637","species","Listeria cornellensis","1","131567","2","1783272","","1239","","91061","1385","186820","1637","","1494961","","","","",""
"1265820","1494961","species_","Listeria cornellensis FSL F6-0969","1","131567","2","1783272","","1239","","91061","1385","186820","1637","","1494961","1265820","","","",""
"1494964","1637","species","Listeria riparia","1","131567","2","1783272","","1239","","91061","1385","186820","1637","","1494964","","","","",""
"1265816","1494964","species_","Listeria riparia FSL S10-1204","1","131567","2","1783272","","1239","","91061","1385","186820","1637","","1494964","1265816","","","",""
"1639","1637","species","Listeria monocytogenes","1","131567","2","1783272","","1239","","91061","1385","186820","1637","","1639","","","","",""
"1641","1637","species","Listeria grayi","1","131567","2","1783272","","1239","","91061","1385","186820","1637","","1641","","","","",""
"525367","1641","species_","Listeria grayi DSM 20601","1","131567","2","1783272","","1239","","91061","1385","186820","1637","","1641","525367","","","",""
"1643","1637","species","Listeria welshimeri","1","131567","2","1783272","","1239","","91061","1385","186820","1637","","1643","","","","",""
"386043","1643","species_","Listeria welshimeri serovar 6b str. SLCC5334","1","131567","2","1783272","","1239","","91061","1385","186820","1637","","1643","386043","","","",""
"90964","1385","family","Staphylococcaceae","1","131567","2","1783272","","1239","","91061","1385","90964","","","","","","","",""
"1279","90964","genus","Staphylococcus","1","131567","2","1783272","","1239","","91061","1385","90964","1279","","","","","","",""
"1280","1279","species","Staphylococcus aureus","1","131567","2","1783272","","1239","","91061","1385","90964","1279","","1280","","","","",""
"46170","1280","subspecies","Staphylococcus aureus subsp. aureus","1","131567","2","1783272","","1239","","91061","1385","90964","1279","","1280","","","46170","",""
"1409453","1280","species_","Staphylococcus aureus LAMC6065","1","131567","2","1783272","","1239","","91061","1385","90964","1279","","1280","1409453","","","",""
"1282","1279","species","Staphylococcus epidermidis","1","131567","2","1783272","","1239","","91061","1385","90964","1279","","1282","","","","",""
"596317","1282","species_","Staphylococcus epidermidis SK135","1","131567","2","1783272","","1239","","91061","1385","90964","1279","","1282","596317","","","",""
"186826","91061","order","Lactobacillales","1","131567","2","1783272","","1239","","91061","186826","","","","","","","","",""
"1300","186826","family","Streptococcaceae","1","131567","2","1783272","","1239","","91061","186826","1300","","","","","","","",""
"1301","1300","genus","Streptococcus","1","131567","2","1783272","","1239","","91061","186826","1300","1301","","","","","","",""
"1309","1301","species","Streptococcus mutans","1","131567","2","1783272","","1239","","91061","186826","1300","1301","","1309","","","","",""
"1311","1301","species","Streptococcus agalactiae","1","131567","2","1783272","","1239","","91061","186826","1300","1301","","1311","","","","",""
"342613","1311","species_","Streptococcus agalactiae 18RS21","1","131567","2","1783272","","1239","","91061","186826","1300","1301","","1311","342613","","","",""
"1313","1301","species","Streptococcus pneumoniae","1","131567","2","1783272","","1239","","91061","186826","1300","1301","","1313","","","","",""
"1069624","1313","species_","Streptococcus pneumoniae GA04216","1","131567","2","1783272","","1239","","91061","186826","1300","1301","","1313","1069624","","","",""
"33958","186826","family","Lactobacillaceae","1","131567","2","1783272","","1239","","91061","186826","33958","","","","","","","",""
"1578","33958","genus","Lactobacillus","1","131567","2","1783272","","1239","","91061","186826","33958","1578","","","","","","",""
"1584","1578","species","Lactobacillus delbrueckii","1","131567","2","1783272","","1239","","91061","186826","33958","1578","","1584","","","","",""
"249265","1584","subspecies","Lactobacillus delbrueckii subsp. indicus","1","131567","2","1783272","","1239","","91061","186826","33958","1578","","1584","","","249265","",""
"1596","1578","species","Lactobacillus gasseri","1","131567","2","1783272","","1239","","91061","186826","33958","1578","","1596","","","","",""
"324831","1596","species_","Lactobacillus gasseri ATCC 33323 = JCM 1131","1","131567","2","1783272","","1239","","91061","186826","33958","1578","","1596","324831","","","",""
"1633","1578","species","Lactobacillus vaginalis","1","131567","2","1783272","","1239","","91061","186826","33958","1578","","1633","","","","",""
"1423814","1633","species_","Lactobacillus vaginalis DSM 5837 = ATCC 49540","1","131567","2","1783272","","1239","","91061","186826","33958","1578","","1633","1423814","","","",""
"481723","1578","species","Lactobacillus rapi","1","131567","2","1783272","","1239","","91061","186826","33958","1578","","481723","","","","",""
"1423795","481723","species_","Lactobacillus rapi DSM 19907 = JCM 15042","1","131567","2","1783272","","1239","","91061","186826","33958","1578","","481723","1423795","","","",""
"52242","1578","species","Lactobacillus gallinarum","1","131567","2","1783272","","1239","","91061","186826","33958","1578","","52242","","","","",""
"943673","1578","species","Lactobacillus brantae","1","131567","2","1783272","","1239","","91061","186826","33958","1578","","943673","","","","",""
"81852","186826","family","Enterococcaceae","1","131567","2","1783272","","1239","","91061","186826","81852","","","","","","","",""
"1350","81852","genus","Enterococcus","1","131567","2","1783272","","1239","","91061","186826","81852","1350","","","","","","",""
"1351","1350","species","Enterococcus faecalis","1","131567","2","1783272","","1239","","91061","186826","81852","1350","","1351","","","","",""
"474186","1351","species_","Enterococcus faecalis OG1RF","1","131567","2","1783272","","1239","","91061","186826","81852","1350","","1351","474186","","","",""
"1354","1350","species","Enterococcus hirae","1","131567","2","1783272","","1239","","91061","186826","81852","1350","","1354","","","","",""
"768486","1354","species_","Enterococcus hirae ATCC 9790","1","131567","2","1783272","","1239","","91061","186826","81852","1350","","1354","768486","","","",""
"155617","1350","species","Enterococcus moraviensis","1","131567","2","1783272","","1239","","91061","186826","81852","1350","","155617","","","","",""
"1158609","155617","species_","Enterococcus moraviensis ATCC BAA-383","1","131567","2","1783272","","1239","","91061","186826","81852","1350","","155617","1158609","","","",""
"1665476","1350","species","Enterococcus bulliens","1","131567","2","1783272","","1239","","91061","186826","81852","1350","","1665476","","","","",""
"44008","1350","species","Enterococcus cecorum","1","131567","2","1783272","","1239","","91061","186826","81852","1350","","44008","","","","",""
"1121864","44008","species_","Enterococcus cecorum DSM 20682 = ATCC 43198","1","131567","2","1783272","","1239","","91061","186826","81852","1350","","44008","1121864","","","",""
"71452","1350","species","Enterococcus raffinosus","1","131567","2","1783272","","1239","","91061","186826","81852","1350","","71452","","","","",""
"1297","1783272","phylum","Deinococcus-Thermus","1","131567","2","1783272","","1297","","","","","","","","","","","",""
"188787","1297","class","Deinococci","1","131567","2","1783272","","1297","","188787","","","","","","","","","",""
"118964","188787","order","Deinococcales","1","131567","2","1783272","","1297","","188787","118964","","","","","","","","",""
"183710","118964","family","Deinococcaceae","1","131567","2","1783272","","1297","","188787","118964","183710","","","","","","","",""
"1298","183710","genus","Deinococcus","1","131567","2","1783272","","1297","","188787","118964","183710","1298","","","","","","",""
"1182571","1298","species","Deinococcus swuensis","1","131567","2","1783272","","1297","","188787","118964","183710","1298","","1182571","","","","",""
"1299","1298","species","Deinococcus radiodurans","1","131567","2","1783272","","1297","","188787","118964","183710","1298","","1299","","","","",""
"243230","1299","species_","Deinococcus radiodurans R1","1","131567","2","1783272","","1297","","188787","118964","183710","1298","","1299","243230","","","",""
"309885","1298","species","Deinococcus hopiensis","1","131567","2","1783272","","1297","","188787","118964","183710","1298","","309885","","","","",""
"695939","309885","species_","Deinococcus hopiensis KR-140","1","131567","2","1783272","","1297","","188787","118964","183710","1298","","309885","695939","","","",""
"432329","1298","species","Deinococcus peraridilitoris","1","131567","2","1783272","","1297","","188787","118964","183710","1298","","432329","","","","",""
"47478","1298","species","Deinococcus sp.","1","131567","2","1783272","","1297","","188787","118964","183710","1298","","47478","","","","",""
"68909","1298","species","Deinococcus geothermalis","1","131567","2","1783272","","1297","","188787","118964","183710","1298","","68909","","","","",""
"319795","68909","species_","Deinococcus geothermalis DSM 11300","1","131567","2","1783272","","1297","","188787","118964","183710","1298","","68909","319795","","","",""
"201174","1783272","phylum","Actinobacteria","1","131567","2","1783272","","201174","","","","","","","","","","","",""
"1760","201174","class","Actinobacteria","1","131567","2","1783272","","201174","","1760","","","","","","","","","",""
"2037","1760","order","Actinomycetales","1","131567","2","1783272","","201174","","1760","2037","","","","","","","","",""
"2049","2037","family","Actinomycetaceae","1","131567","2","1783272","","201174","","1760","2037","2049","","","","","","","",""
"1654","2049","genus","Actinomyces","1","131567","2","1783272","","201174","","1760","2037","2049","1654","","","","","","",""
"103621","1654","species","Actinomyces urogenitalis","1","131567","2","1783272","","201174","","1760","2037","2049","1654","","103621","","","","",""
"525246","103621","species_","Actinomyces urogenitalis DSM 15434","1","131567","2","1783272","","201174","","1760","2037","2049","1654","","103621","525246","","","",""
"1660","1654","species","Actinomyces odontolyticus","1","131567","2","1783272","","201174","","1760","2037","2049","1654","","1660","","","","",""
"411466","1660","species_","Actinomyces odontolyticus ATCC 17982","1","131567","2","1783272","","201174","","1760","2037","2049","1654","","1660","411466","","","",""
"1673722","1654","species","Actinomyces ihuae","1","131567","2","1783272","","201174","","1760","2037","2049","1654","","1673722","","","","",""
"1689268","1654","species","Actinomyces urinae","1","131567","2","1783272","","201174","","1760","2037","2049","1654","","1689268","","","","",""
"33007","1654","species","Actinomyces neuii","1","131567","2","1783272","","201174","","1760","2037","2049","1654","","33007","","","","",""
"29318","33007","subspecies","Actinomyces neuii subsp. anitratus","1","131567","2","1783272","","201174","","1760","2037","2049","1654","","33007","","","29318","",""
"52773","1654","species","Actinomyces meyeri","1","131567","2","1783272","","201174","","1760","2037","2049","1654","","52773","","","","",""
"85009","1760","order","Propionibacteriales","1","131567","2","1783272","","201174","","1760","85009","","","","","","","","",""
"31957","85009","family","Propionibacteriaceae","1","131567","2","1783272","","201174","","1760","85009","31957","","","","","","","",""
"1912216","31957","genus","Cutibacterium","1","131567","2","1783272","","201174","","1760","85009","31957","1912216","","","","","","",""
"1050843","1912216","species","[Propionibacterium] humerusii","1","131567","2","1783272","","201174","","1760","85009","31957","1912216","","1050843","","","","",""
"999892","1050843","species_","[Propionibacterium] humerusii P08","1","131567","2","1783272","","201174","","1760","85009","31957","1912216","","1050843","999892","","","",""
"1574624","1912216","species","[Propionibacterium] namnetense","1","131567","2","1783272","","201174","","1760","85009","31957","1912216","","1574624","","","","",""
"1747","1912216","species","Cutibacterium acnes","1","131567","2","1783272","","201174","","1760","85009","31957","1912216","","1747","","","","",""
"1734925","1747","subspecies","Cutibacterium acnes subsp. acnes","1","131567","2","1783272","","201174","","1760","85009","31957","1912216","","1747","","","1734925","",""
"33010","1912216","species","Cutibacterium avidum","1","131567","2","1783272","","201174","","1760","85009","31957","1912216","","33010","","","","",""
"997355","33010","species_","Cutibacterium avidum ATCC 25577","1","131567","2","1783272","","201174","","1760","85009","31957","1912216","","33010","997355","","","",""
"33011","1912216","species","Cutibacterium granulosum","1","131567","2","1783272","","201174","","1760","85009","31957","1912216","","33011","","","","",""
"1160719","33011","species_","Cutibacterium granulosum DSM 20700","1","131567","2","1783272","","201174","","1760","85009","31957","1912216","","33011","1160719","","","",""
